GEOID,district,total,white,black,latino,other,adjtotal,adjwhite,adjblack,adjlatino,adjother,cvap,cvap_margin_of_error
040019426001,6,829,5,3,3,818,829.6987,5.041695,3.065376,3.045843,818.5458,679,220
040019426002,6,720,3,0,7,710,720.6057,3.025017,0,7.106967,710.4738,612,145
040019427001,6,761,6,5,8,742,761.7763,6.050034,5.10896,8.122248,742.4951,685,112
040019427002,6,1761,12,6,31,1712,1762.847,12.10007,6.130751,31.47371,1713.142,1382,201
040019427003,6,894,31,2,7,854,894.9789,31.2585,2.043584,7.106967,854.5699,892,227
040019427004,6,1075,7,3,15,1050,1076.054,7.058372,3.065376,15.22921,1050.701,1081,173
040019440001,6,1374,11,6,14,1343,1375.333,11.09173,6.130752,14.21393,1343.896,1279,265
040019440002,6,1948,106,18,58,1766,1951.341,106.8839,18.39225,58.8863,1767.178,1516,334
040019440003,6,2026,16,14,26,1970,2028.15,16.13342,14.30509,26.39731,1971.314,1709,314
040019441001,6,1086,2,1,10,1073,1086.907,2.016678,1.021792,10.15281,1073.716,980,246
040019441002,6,1194,1,9,17,1167,1195.243,1.008339,9.196126,17.25978,1167.779,757,143
040019441003,6,635,1,3,2,629,635.524,1.008339,3.065376,2.030562,629.4197,692,167
040019441004,6,1826,293,4,91,1438,1830.881,295.4433,4.087167,92.39057,1438.96,1184,188
040019441005,6,754,3,1,6,744,754.6349,3.025017,1.021792,6.091686,744.4964,456,106
040019442011,6,1597,28,7,22,1540,1598.75,28.23349,7.152543,22.33618,1541.028,760,217
040019442012,6,2424,162,30,54,2178,2428.283,163.3509,30.65376,54.82517,2179.453,1606,355
040019442021,6,1188,18,4,10,1156,1189.161,18.1501,4.087168,10.15281,1156.771,924,349
040019442022,6,947,10,0,5,932,947.7817,10.08339,0,5.076405,932.6219,559,203
040019442023,6,1473,23,14,11,1425,1474.616,23.1918,14.30508,11.16809,1425.951,642,215
040019443011,6,1546,23,2,10,1511,1547.396,23.19179,2.043584,10.15281,1512.008,669,136
040019443012,6,1379,5,1,34,1339,1380.476,5.041694,1.021792,34.51955,1339.893,985,201
040019443013,6,864,17,1,9,837,864.8596,17.14177,1.021792,9.137529,837.5585,363,93
040019443021,6,1222,0,5,3,1214,1222.965,0,5.108959,3.045843,1214.81,734,182
040019443022,6,1463,1,8,13,1441,1464.343,1.008339,8.174335,13.19865,1441.962,1089,163
040019449011,6,496,0,2,1,493,496.3878,0,2.043584,1.015281,493.329,364,69
040019449012,6,1124,3,4,15,1102,1125.077,3.025017,4.087168,15.22921,1102.735,849,156
040019449013,6,1145,17,9,23,1096,1146.421,17.14176,9.196128,23.35146,1096.731,697,137
040019449014,6,604,2,1,11,590,604.6002,2.016678,1.021792,11.16809,590.3937,496,125
040019449021,6,1558,4,18,23,1513,1559.787,4.033355,18.39226,23.35146,1514.01,1271,185
